"gnd_id","author","title","date"
"http://d-nb.info/gnd/118552465","Ernst Theodor Amade…","Nußknacker und Maus…",1816
"http://d-nb.info/gnd/118790471","Perthes Friedrich C…","Der deutsche Buchha…",1816
"http://d-nb.info/gnd/118759523","Christoph von Schmid","Die Ostereier",1816
"http://d-nb.info/gnd/118547739","Hegel Georg Wilhelm…","Wissenschaft der Lo…",1816
"http://d-nb.info/gnd/118556622","Jahn Friedrich Ludw…","Die deutsche Turnku…",1816
"http://d-nb.info/gnd/118547739","Georg Wilhelm Fried…","Wissenschaft der Lo…",1816
"http://d-nb.info/gnd/118547739","Georg Wilhelm Fried…","Wissenschaft der Lo…",1816
"http://d-nb.info/gnd/118734504","Mohr Joseph","Weyhnachts-Lied",1816
"http://d-nb.info/gnd/118568558","Lachmann Karl","Über die ursprüngli…",1816
"http://d-nb.info/gnd/12989432X","Tieck Ludwig","Phantasus",1816
"http://d-nb.info/gnd/118552465","Hoffmann E. T. A. ","Die Elixiere des Te…",1815
"http://d-nb.info/gnd/118621513","Thaer Albrecht Dani…","Geschichte meiner W…",1815
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Die Elixiere des Te…",1815
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Die Fermate",1815
"http://d-nb.info/gnd/118646052","Saul Ascher","Die Germanomanie",1815
"http://d-nb.info/gnd/118529390","Eichendorff Joseph …","Ahnung und Gegenwart",1815
"http://d-nb.info/gnd/118529390","Joseph von Eichendo…","Ahnung und Gegenwart",1815
"http://d-nb.info/gnd/118542257","Grimm Jacob","Kinder- und Haus-Mä…",1815
"http://d-nb.info/gnd/118625063","Uhland Ludwig","Gedichte",1815
"http://d-nb.info/gnd/118520040","Chamisso Adelbert v…","Peter Schlemihl's w…",1814
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Beethovens Instrume…",1814
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Kreisleriana",1814
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Der goldne Topf",1814
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Der Magnetiseur",1814
"http://d-nb.info/gnd/118605909","Savigny Friedrich C…","Vom Beruf unsrer Ze…",1814
"http://d-nb.info/gnd/104217774","Gottschalck Friedri…","Die Sagen und Volks…",1814
